Pokemon Id,Pokedex Number,Pokemon Name,Game(s) of Origin,Generation,Alternate Form Name,Legendary Status,Legendary Type,Pre-Evolution Pokemon Id,Evolution Details,Level of Evolution,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Special Event Ability,Male Ratio,Female Ratio,M:F Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count
21,404,Luxio,Diamond,4,,False,NA,20.0,Leveling Up,15.0,0.9,30.5,Electric,NA,Rivalry,Intimidate,Guts,,50.0,50.0,50.0:50.0,100,60,85,49,60,49,60,363,0,2,0,0,0,0,2,120,Medium Slow,1059860,Field,NA,20
22,405,Luxray,Diamond,4,,False,NA,21.0,Leveling Up,30.0,1.4,42.0,Electric,NA,Rivalry,Intimidate,Guts,,50.0,50.0,50.0:50.0,50,80,120,79,95,79,70,523,0,3,0,0,0,0,3,45,Medium Slow,1059860,Field,NA,20
23,11,Metapod,Red,1,,False,NA,32.0,Leveling Up,7.0,0.7,9.9,Bug,NA,Shed Skin,NA,NA,,50.0,50.0,50.0:50.0,50,50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Bug,NA,15
24,12,Butterfree,Red,1,,False,NA,23.0,Leveling Up,10.0,1.1,32.0,Bug,Flying,Compound Eyes,NA,Tinted Lens,,50.0,50.0,50.0:50.0,50,60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,Medium Fast,1000000,Bug,NA,15
27,15,Beedrill,Red,1,,False,NA,30.0,Leveling Up,10.0,1.0,29.5,Bug,Poison,Swarm,NA,Sniper,,50.0,50.0,50.0:50.0,50,65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,Medium Fast,1000000,Bug,NA,15
29,132,Ditto,Red,1,,False,NA,,NA,,0.3,4.0,Normal,NA,Limber,NA,Imposter,,0.0,0.0,0.0:0.0,50,48,48,48,48,48,48,288,1,0,0,0,0,0,1,35,Medium Fast,1000000,Ditto,NA,20
30,14,Kakuna,Red,1,,False,NA,31.0,Leveling Up,7.0,0.6,10.0,Bug,Poison,Shed Skin,NA,NA,,50.0,50.0,50.0:50.0,50,45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Bug,NA,15
31,13,Weedle,Red,1,,False,NA,,NA,,0.3,3.2,Bug,Poison,Shield Dust,NA,Run Away,,50.0,50.0,50.0:50.0,50,40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,Medium Fast,1000000,Bug,NA,15
32,10,Caterpie,Red,1,,False,NA,,NA,,0.3,2.9,Bug,NA,Shield Dust,NA,Run Away,,50.0,50.0,50.0:50.0,50,45,30,35,20,20,45,195,1,0,0,0,0,0,1,255,Medium Fast,1000000,Bug,NA,15
33,29,Nidoran (Female),Red,1,,False,NA,,NA,,0.4,7.0,Poison,NA,Poison Point,Rivalry,Hustle,,0.0,100.0,0.0:100.0,50,55,47,52,40,40,41,275,1,0,0,0,0,0,1,235,Medium Slow,1059860,Monster,Field,20
34,390,Chimchar,Diamond,4,,False,NA,,NA,,0.5,6.2,Fire,NA,Blaze,NA,Iron Fist,,87.5,12.5,87.5:12.5,50,44,58,44,58,44,61,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,Field,Human Like,20
35,391,Monferno,Diamond,4,,False,NA,34.0,Leveling Up,14.0,0.9,22.0,Fire,Fighting,Blaze,NA,Iron Fist,,87.5,12.5,87.5:12.5,50,64,78,52,78,52,81,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,Field,Human Like,20
36,489,Phione,Diamond,4,,True,Mythical,,NA,,0.4,3.1,Water,NA,Hydration,NA,NA,,0.0,0.0,0.0:0.0,50,80,80,80,80,80,80,480,1,0,0,0,0,0,1,30,Slow,1250000,Water1,Fairy,40
37,490,Manaphy,Diamond,4,,True,Mythical,,NA,,0.3,1.4,Water,NA,Hydration,NA,NA,,0.0,0.0,0.0:0.0,50,100,100,100,100,100,100,600,3,0,0,0,0,0,3,3,Slow,1250000,Water1,Fairy,10
42,151,Mew,Red,1,,True,Mythical,,NA,,0.4,4.0,Psychic,NA,Synchronize,NA,NA,,0.0,0.0,0.0:0.0,100,100,100,100,100,100,100,600,3,0,0,0,0,0,3,45,Medium Slow,1059860,No Eggs,NA,120
43,150,Mewtwo,Red,1,,True,Legendary,,NA,,2.0,122.0,Psychic,NA,Pressure,NA,Unnerve,,0.0,0.0,0.0:0.0,0,106,110,90,154,90,130,680,0,0,0,3,0,0,3,3,Slow,1250000,No Eggs,NA,120
46,81,Magnemite,Red,1,,False,NA,,NA,,0.3,6.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,,0.0,0.0,0.0:0.0,50,25,35,70,95,55,45,325,0,0,0,1,0,0,1,190,Medium Fast,1000000,Mineral,NA,20
47,100,Voltorb,Red,1,,False,NA,,NA,,0.5,10.5,Electric,NA,Soundproof,Static,Aftermath,,0.0,0.0,0.0:0.0,50,40,30,50,55,55,100,330,0,0,0,0,0,1,1,190,Medium Fast,1000000,Mineral,NA,20
48,32,Nidoran (Male),Red,1,,False,NA,,NA,,0.5,9.0,Poison,NA,Poison Point,Rivalry,Hustle,,100.0,0.0,100.0:0.0,50,46,57,40,40,40,50,273,0,1,0,0,0,0,1,235,Medium Slow,1059860,Monster,Field,20
49,33,Nidorino,Red,1,,False,NA,48.0,Leveling Up,16.0,0.9,19.5,Poison,NA,Poison Point,Rivalry,Hustle,,100.0,0.0,100.0:0.0,50,61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,Medium Slow,1059860,Monster,Field,20
50,34,Nidoking,Red,1,,False,NA,49.0,Evolution stone,,1.4,62.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,,100.0,0.0,100.0:0.0,50,81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,Monster,Field,20
51,173,Cleffa,Gold,2,,False,NA,,NA,,0.3,3.0,Fairy,NA,Cute Charm,Magic Bounce,Friend Guard,,25.0,75.0,25.0:75.0,140,50,25,28,45,55,15,218,0,0,0,0,1,0,1,150,Fast,800000,No Eggs,NA,10
52,35,Clefairy,Red,1,,False,NA,51.0,Trade or Friendship,,0.6,7.5,Fairy,NA,Cute Charm,Magic Guard,Friend Guard,,25.0,75.0,25.0:75.0,140,70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,Fast,800000,Fairy,NA,20
53,36,Clefable,Red,1,,False,NA,52.0,Evolution stone,,1.3,40.0,Fairy,NA,Cute Charm,Magic Guard,Unaware,,25.0,75.0,25.0:75.0,140,95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,Fast,800000,Fairy,NA,10
54,37,Vulpix,Red,1,,False,NA,,NA,,0.6,9.9,Fire,NA,Flash Fire,NA,Drought,,25.0,75.0,25.0:75.0,50,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,Field,NA,20
56,38,Ninetales,Red,1,,False,NA,54.0,Evolution stone,,1.1,19.9,Fire,NA,Flash Fire,NA,Drought,,25.0,75.0,25.0:75.0,50,73,76,75,81,100,100,505,0,0,0,0,1,1,2,75,Medium Fast,1000000,Field,NA,20
58,174,Igglybuff,Gold,2,,False,NA,,NA,,0.3,1.0,Normal,Fairy,Cute Charm,Competitive,Friend Guard,,25.0,75.0,25.0:75.0,50,90,30,15,40,20,15,210,1,0,0,0,0,0,1,170,Fast,800000,No Eggs,NA,10
59,39,Jigglypuff,Red,1,,False,NA,58.0,Trade or Friendship,,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,,25.0,75.0,25.0:75.0,50,115,45,20,45,25,20,270,2,0,0,0,0,0,2,170,Fast,800000,Fairy,NA,10
60,40,Wigglytuff,Red,1,,False,NA,59.0,Evolution stone,,1.0,12.0,Normal,Fairy,Cute Charm,Competitive,Frisk,,25.0,75.0,25.0:75.0,50,140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,Fast,800000,Fairy,NA,10
61,41,Zubat,Red,1,,False,NA,,NA,,0.8,7.5,Poison,Flying,Inner Focus,NA,Infiltrator,,50.0,50.0,50.0:50.0,50,40,45,35,30,40,55,245,0,0,0,0,0,1,1,255,Medium Fast,1000000,Flying,NA,15
62,42,Golbat,Red,1,,False,NA,61.0,Leveling Up,22.0,1.6,55.0,Poison,Flying,Inner Focus,NA,Infiltrator,,50.0,50.0,50.0:50.0,50,75,80,70,65,75,95,460,0,0,0,0,0,2,2,90,Medium Fast,1000000,Flying,NA,15
63,169,Crobat,Gold,2,,False,NA,62.0,Trade or Friendship,,1.8,75.0,Poison,Flying,Inner Focus,NA,Infiltrator,,50.0,50.0,50.0:50.0,50,85,90,80,70,80,130,535,0,0,0,0,0,3,3,90,Medium Fast,1000000,Flying,NA,15
64,43,Oddish,Red,1,,False,NA,,NA,,0.5,5.4,Grass,Poison,Chlorophyll,NA,Run Away,,50.0,50.0,50.0:50.0,50,45,50,55,75,65,30,320,0,0,0,1,0,0,1,255,Medium Slow,1059860,Grass,NA,20
65,44,Gloom,Red,1,,False,NA,64.0,Leveling Up,21.0,0.8,8.6,Grass,Poison,Chlorophyll,NA,Stench,,50.0,50.0,50.0:50.0,50,60,65,70,85,75,40,395,0,0,0,2,0,0,2,120,Medium Slow,1059860,Grass,NA,20
66,45,Vileplume,Red,1,,False,NA,65.0,Evolution stone,,1.2,18.6,Grass,Poison,Chlorophyll,NA,Effect Spore,,50.0,50.0,50.0:50.0,50,75,80,85,110,90,50,490,0,0,0,3,0,0,3,45,Medium Slow,1059860,Grass,NA,20
67,182,Bellossom,Gold,2,,False,NA,65.0,Evolution stone,,0.4,5.8,Grass,NA,Chlorophyll,NA,Healer,,50.0,50.0,50.0:50.0,50,75,80,95,90,100,50,490,0,0,0,0,3,0,3,45,Medium Slow,1059860,Grass,NA,20
68,46,Paras,Red,1,,False,NA,,NA,,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,,50.0,50.0,50.0:50.0,50,35,70,55,45,55,25,285,0,1,0,0,0,0,1,190,Medium Fast,1000000,Bug,Grass,20
69,47,Parasect,Red,1,,False,NA,68.0,Leveling Up,24.0,1.0,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,,50.0,50.0,50.0:50.0,50,60,95,80,60,80,30,405,0,2,1,0,0,0,3,75,Medium Fast,1000000,Bug,Grass,20
70,48,Venonat,Red,1,,False,NA,,NA,,1.0,30.0,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,,50.0,50.0,50.0:50.0,50,60,55,50,40,55,45,305,0,0,0,0,1,0,1,190,Medium Fast,1000000,Bug,NA,20
71,49,Venomoth,Red,1,,False,NA,70.0,Leveling Up,31.0,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,,50.0,50.0,50.0:50.0,50,70,65,60,90,75,90,450,0,0,0,1,0,1,2,75,Medium Fast,1000000,Bug,NA,20
72,50,Diglett,Red,1,,False,NA,,NA,,0.2,0.8,Ground,NA,Sand Veil,Arena Trap,Sand Force,,50.0,50.0,50.0:50.0,50,10,55,25,35,45,95,265,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NA,20
73,51,Dugtrio,Red,1,,False,NA,72.0,Leveling Up,26.0,0.7,33.3,Ground,NA,Sand Veil,Arena Trap,Sand Force,,50.0,50.0,50.0:50.0,50,35,100,50,50,70,120,425,0,0,0,0,0,2,2,50,Medium Fast,1000000,Field,NA,20
76,16,Pidgey,Red,1,,False,NA,,NA,,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,50.0,50.0,50.0:50.0,50,40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,Medium Slow,1059860,Flying,NA,15
77,17,Pidgeotto,Red,1,,False,NA,76.0,Leveling Up,18.0,1.1,30.0,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,50.0,50.0,50.0:50.0,50,63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,Medium Slow,1059860,Flying,NA,15
78,18,Pidgeot,Red,1,,False,NA,77.0,Leveling Up,36.0,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,50.0,50.0,50.0:50.0,50,83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,Medium Slow,1059860,Flying,NA,15
80,19,Rattata,Red,1,,False,NA,,NA,,0.3,3.5,Normal,NA,Run Away,Guts,Hustle,,50.0,50.0,50.0:50.0,50,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NA,15
82,20,Raticate,Red,1,,False,NA,80.0,Leveling Up,20.0,0.7,18.5,Normal,NA,Run Away,Guts,Hustle,,50.0,50.0,50.0:50.0,50,55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,Field,NA,15
84,21,Spearow,Red,1,,False,NA,,NA,,0.3,2.0,Normal,Flying,Keen Eye,NA,Sniper,,50.0,50.0,50.0:50.0,50,40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,Medium Fast,1000000,Flying,NA,15
85,22,Fearow,Red,1,,False,NA,84.0,Leveling Up,20.0,1.2,38.0,Normal,Flying,Keen Eye,NA,Sniper,,50.0,50.0,50.0:50.0,50,65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,Medium Fast,1000000,Flying,NA,15
86,23,Ekans,Red,1,,False,NA,,NA,,2.0,6.9,Poison,NA,Intimidate,Shed Skin,Unnerve,,50.0,50.0,50.0:50.0,50,35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,Medium Fast,1000000,Field,Dragon,20
87,24,Arbok,Red,1,,False,NA,86.0,Leveling Up,22.0,3.5,65.0,Poison,NA,Intimidate,Shed Skin,Unnerve,,50.0,50.0,50.0:50.0,50,60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,Medium Fast,1000000,Field,Dragon,20
88,172,Pichu,Gold,2,,False,NA,,NA,,0.3,2.0,Electric,NA,Static,NA,Lightning Rod,,50.0,50.0,50.0:50.0,50,20,40,15,35,35,60,205,0,0,0,0,0,1,1,190,Medium Fast,1000000,No Eggs,NA,10
89,25,Pikachu,Red,1,,False,NA,88.0,Trade or Friendship,,0.4,6.0,Electric,NA,Static,NA,Lightning Rod,,50.0,50.0,50.0:50.0,50,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,Field,Fairy,10
90,26,Raichu,Red,1,,False,NA,89.0,Evolution stone,,0.8,30.0,Electric,NA,Static,NA,Lightning Rod,,50.0,50.0,50.0:50.0,50,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,Field,Fairy,10
92,27,Sandshrew,Red,1,,False,NA,,NA,,0.6,12.0,Ground,NA,Sand Veil,NA,Sand Rush,,50.0,50.0,50.0:50.0,50,50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,Field,NA,20
94,28,Sandslash,Red,1,,False,NA,92.0,Leveling Up,22.0,1.0,29.5,Ground,NA,Sand Veil,NA,Sand Rush,,50.0,50.0,50.0:50.0,50,75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,Field,NA,20
96,52,Meowth,Red,1,,False,NA,,NA,,0.4,4.2,Normal,NA,Pickup,Technician,Unnerve,,50.0,50.0,50.0:50.0,50,40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NA,20
100,53,Persian,Red,1,,False,NA,96.0,Leveling Up,28.0,1.0,32.0,Normal,NA,Limber,Technician,Unnerve,,50.0,50.0,50.0:50.0,50,65,70,60,65,65,115,440,0,0,0,0,0,2,2,90,Medium Fast,1000000,Field,NA,20
102,54,Psyduck,Red,1,,False,NA,,NA,,0.8,19.6,Water,NA,Damp,Cloud Nine,Swift Swim,,50.0,50.0,50.0:50.0,50,50,52,48,65,50,55,320,0,0,0,1,0,0,1,190,Medium Fast,1000000,Water1,Field,20
105,101,Electrode,Red,1,,False,NA,47.0,Leveling Up,30.0,1.2,66.6,Electric,NA,Soundproof,Static,Aftermath,,0.0,0.0,0.0:0.0,50,60,50,70,80,80,150,490,0,0,0,0,0,2,2,60,Medium Fast,1000000,Mineral,NA,20
136,102,Exeggcute,Red,1,,False,NA,,NA,,0.4,2.5,Grass,Psychic,Chlorophyll,NA,Harvest,,50.0,50.0,50.0:50.0,50,60,40,80,60,45,40,325,0,0,1,0,0,0,1,90,Slow,1250000,Grass,NA,20
137,103,Exeggutor,Red,1,,False,NA,136.0,Evolution stone,,2.0,120.0,Grass,Psychic,Chlorophyll,NA,Harvest,,50.0,50.0,50.0:50.0,50,95,95,85,125,75,55,530,0,0,0,2,0,0,2,45,Slow,1250000,Grass,NA,20
138,104,Cubone,Red,1,,False,NA,,NA,,0.4,6.5,Ground,NA,Rock Head,Lightning Rod,Battle Armor,,50.0,50.0,50.0:50.0,50,50,50,95,40,50,35,320,0,0,1,0,0,0,1,190,Medium Fast,1000000,Monster,NA,20
139,105,Marowak,Red,1,,False,NA,138.0,Leveling Up,28.0,1.0,45.0,Ground,NA,Rock Head,Lightning Rod,Battle Armor,,50.0,50.0,50.0:50.0,50,60,80,110,50,80,45,425,0,0,2,0,0,0,2,75,Medium Fast,1000000,Monster,NA,20
140,106,Hitmonlee,Red,1,,False,NA,360.0,Leveling Up,,1.5,49.8,Fighting,NA,Limber,Reckless,Unburden,,100.0,0.0,100.0:0.0,50,50,120,53,35,110,87,455,0,2,0,0,0,0,2,45,Medium Fast,1000000,Human Like,NA,25
141,107,Hitmonchan,Red,1,,False,NA,360.0,Leveling Up,,1.4,50.2,Fighting,NA,Keen Eye,Iron Fist,Inner Focus,,100.0,0.0,100.0:0.0,50,50,105,79,35,110,76,455,0,0,0,0,2,0,2,45,Medium Fast,1000000,Human Like,NA,25
142,108,Lickitung,Red,1,,False,NA,,NA,,1.2,65.5,Normal,NA,Own Tempo,Oblivious,Cloud Nine,,50.0,50.0,50.0:50.0,50,90,55,75,60,75,30,385,2,0,0,0,0,0,2,45,Medium Fast,1000000,Monster,NA,20
143,109,Koffing,Red,1,,False,NA,,NA,,0.6,1.0,Poison,NA,Levitate,Neutralizing Gas,Stench,,50.0,50.0,50.0:50.0,50,40,65,95,60,45,35,340,0,0,1,0,0,0,1,190,Medium Fast,1000000,Amorphous,NA,20
144,110,Weezing,Red,1,,False,NA,143.0,Leveling Up,35.0,1.2,9.5,Poison,NA,Levitate,Neutralizing Gas,Stench,,50.0,50.0,50.0:50.0,50,65,90,120,85,70,60,490,0,0,2,0,0,0,2,60,Medium Fast,1000000,Amorphous,NA,20
145,111,Rhyhorn,Red,1,,False,NA,,NA,,1.0,115.0,Ground,Rock,Lightning Rod,Rock Head,Reckless,,50.0,50.0,50.0:50.0,50,80,85,95,30,30,25,345,0,0,1,0,0,0,1,120,Slow,1250000,Monster,Field,20
146,112,Rhydon,Red,1,,False,NA,145.0,Leveling Up,42.0,1.9,120.0,Ground,Rock,Lightning Rod,Rock Head,Reckless,,50.0,50.0,50.0:50.0,50,105,130,120,45,45,40,485,0,2,0,0,0,0,2,60,Slow,1250000,Monster,Field,20
147,113,Chansey,Red,1,,False,NA,638.0,Evolution stone,,1.1,34.6,Normal,NA,Natural Cure,Serene Grace,Healer,,0.0,100.0,0.0:100.0,140,250,5,5,35,105,50,450,2,0,0,0,0,0,2,30,Fast,800000,Fairy,NA,40
148,114,Tangela,Red,1,,False,NA,,NA,,1.0,35.0,Grass,NA,Chlorophyll,Leaf Guard,Regenerator,,50.0,50.0,50.0:50.0,50,65,55,115,100,40,60,435,0,0,1,0,0,0,1,45,Medium Fast,1000000,Grass,NA,20
211,115,Kangaskhan,Red,1,,False,NA,,NA,,2.2,80.0,Normal,NA,Early Bird,Scrappy,Inner Focus,,0.0,100.0,0.0:100.0,50,105,95,80,40,80,90,490,2,0,0,0,0,0,2,45,Medium Fast,1000000,Monster,NA,20
212,116,Horsea,Red,1,,False,NA,,NA,,0.4,8.0,Water,NA,Swift Swim,Sniper,Damp,,50.0,50.0,50.0:50.0,50,30,40,70,70,25,60,295,0,0,0,1,0,0,1,225,Medium Fast,1000000,Water1,Dragon,20
213,117,Seadra,Red,1,,False,NA,212.0,Leveling Up,32.0,1.2,25.0,Water,NA,Poison Point,Sniper,Damp,,50.0,50.0,50.0:50.0,50,55,65,95,95,45,85,440,0,0,1,1,0,0,2,75,Medium Fast,1000000,Water1,Dragon,20
214,118,Goldeen,Red,1,,False,NA,,NA,,0.6,15.0,Water,NA,Swift Swim,Water Veil,Lightning Rod,,50.0,50.0,50.0:50.0,50,45,67,60,35,50,63,320,0,1,0,0,0,0,1,225,Medium Fast,1000000,Water2,NA,20
215,119,Seaking,Red,1,,False,NA,214.0,Leveling Up,33.0,1.3,39.0,Water,NA,Swift Swim,Water Veil,Lightning Rod,,50.0,50.0,50.0:50.0,50,80,92,65,65,80,68,450,0,2,0,0,0,0,2,60,Medium Fast,1000000,Water2,NA,20
216,120,Staryu,Red,1,,False,NA,,NA,,0.8,34.5,Water,NA,Illuminate,Natural Cure,Analytic,,0.0,0.0,0.0:0.0,50,30,45,55,70,55,85,340,0,0,0,0,0,1,1,225,Slow,1250000,Water3,NA,20
217,121,Starmie,Red,1,,False,NA,216.0,Evolution stone,,1.1,80.0,Water,Psychic,Illuminate,Natural Cure,Analytic,,0.0,0.0,0.0:0.0,50,60,75,85,100,85,115,520,0,0,0,0,0,2,2,60,Slow,1250000,Water3,NA,20
218,122,Mr. Mime,Red,1,,False,NA,637.0,NA,,1.3,54.5,Psychic,Fairy,Soundproof,Filter,Technician,,50.0,50.0,50.0:50.0,50,40,45,65,100,120,90,460,0,0,0,0,2,0,2,45,Medium Fast,1000000,Human Like,NA,25
219,123,Scyther,Red,1,,False,NA,,NA,,1.5,56.0,Bug,Flying,Swarm,Technician,Steadfast,,50.0,50.0,50.0:50.0,50,70,110,80,55,80,105,500,0,1,0,0,0,0,1,45,Medium Fast,1000000,Bug,NA,25
220,124,Jynx,Red,1,,False,NA,362.0,Leveling Up,30.0,1.4,40.6,Ice,Psychic,Oblivious,Forewarn,Dry Skin,,0.0,100.0,0.0:100.0,50,65,50,35,115,95,95,455,0,0,0,2,0,0,2,45,Medium Fast,1000000,Human Like,NA,25
221,125,Electabuzz,Red,1,,False,NA,363.0,Leveling Up,30.0,1.1,30.0,Electric,NA,Static,NA,Vital Spirit,,75.0,25.0,75.0:25.0,50,65,83,57,95,85,105,490,0,0,0,0,0,2,2,45,Medium Fast,1000000,Human Like,NA,25
222,126,Magmar,Red,1,,False,NA,364.0,Leveling Up,30.0,1.3,44.5,Fire,NA,Flame Body,NA,Vital Spirit,,75.0,25.0,75.0:25.0,50,65,95,57,100,85,93,495,0,0,0,2,0,0,2,45,Medium Fast,1000000,Human Like,NA,25
223,127,Pinsir,Red,1,,False,NA,,NA,,1.5,55.0,Bug,NA,Hyper Cutter,Mold Breaker,Moxie,,50.0,50.0,50.0:50.0,50,65,125,100,55,70,85,500,0,2,0,0,0,0,2,45,Slow,1250000,Bug,NA,25
224,128,Tauros,Red,1,,False,NA,,NA,,1.4,88.4,Normal,NA,Intimidate,Anger Point,Sheer Force,,100.0,0.0,100.0:0.0,50,75,100,95,40,70,110,490,0,1,0,0,0,1,2,45,Slow,1250000,Field,NA,20
