District,Candidate 1,Party 1,Votes 1,Percent 1,Winner 1,Incumbent 1,Flipped,Candidate 2,Party 2,Votes 2,Percent 2,Winner 2,Incumbent 2
CA 24,Carbajal,D,214724,62.7,TRUE,TRUE,FALSE,Cole,R,127755,37.3,FALSE,FALSE
CA 25,Ruiz,D,137837,56.25,TRUE,TRUE,FALSE,Weeks,R,107194,43.75,FALSE,FALSE
CA 26,Brownley,D,187393,56.05,TRUE,TRUE,FALSE,Koslow,R,146913,43.95,FALSE,FALSE
CA 27,Whitesides,D,154040,51.33,TRUE,FALSE,FALSE,Garcia,R,146050,48.67,FALSE,TRUE
CA 28,Chu,D,204489,64.93,TRUE,TRUE,FALSE,Verlato,R,110455,35.07,FALSE,FALSE
CA 29,Rivas,D,146312,69.78,TRUE,FALSE,FALSE,Bernal,R,63374,30.22,FALSE,FALSE
CA 30,Friedman,D,213100,68.38,TRUE,FALSE,FALSE,Balekian,R,98559,31.62,FALSE,FALSE
CA 31,Cisneros,D,148095,59.73,TRUE,FALSE,FALSE,Martinez,R,99856,40.27,FALSE,FALSE
CA 32,Sherman,D,212934,66.2,TRUE,TRUE,FALSE,Thompson,R,108711,33.8,FALSE,FALSE
CA 33,Aguilar,D,137197,58.81,TRUE,TRUE,FALSE,Herman,R,96078,41.19,FALSE,FALSE
CA 34,Gomez,D,105394,55.64,TRUE,TRUE,FALSE,Kim,D,84020,44.36,FALSE,FALSE
CA 35,Torres,D,136413,58.41,TRUE,TRUE,FALSE,Cargile,R,97142,41.59,FALSE,FALSE
CA 36,Lieu,D,246002,68.72,TRUE,TRUE,FALSE,Toomim,R,111985,31.28,FALSE,FALSE
CA 37,Kamlager-Dove,D,160364,78.3,TRUE,TRUE,FALSE,Rey,NX,44450,21.7,FALSE,FALSE
CA 38,Sanchez,D,165110,59.84,TRUE,TRUE,FALSE,Ching,R,110818,40.16,FALSE,FALSE
CA 39,Takano,D,130191,56.69,TRUE,TRUE,FALSE,Serpa,R,99469,43.31,FALSE,FALSE
CA 40,Kim,R,211998,55.26,TRUE,TRUE,FALSE,Kerr,D,171637,44.74,FALSE,FALSE
CA 41,Calvert,R,183216,51.69,TRUE,TRUE,FALSE,Rollins,D,171229,48.31,FALSE,FALSE
CA 42,Garcia,D,159153,68.14,TRUE,TRUE,FALSE,Briscoe,R,74410,31.86,FALSE,FALSE
CA 43,Waters,D,160080,75.07,TRUE,TRUE,FALSE,Williams,R,53152,24.93,FALSE,FALSE
CA 44,Barragan,D,164765,71.37,TRUE,TRUE,FALSE,Groh,R,66087,28.63,FALSE,FALSE
CA 45,Tran,D,158264,50.1,TRUE,FALSE,FALSE,Steel,R,157611,49.9,FALSE,TRUE
CA 46,Correa,D,134013,63.43,TRUE,TRUE,FALSE,Pan,R,77279,36.57,FALSE,FALSE
CA 47,Min,D,181721,51.44,TRUE,FALSE,FALSE,Baugh,R,171554,48.56,FALSE,FALSE
CA 48,Issa,R,213625,59.29,TRUE,TRUE,FALSE,Houlahan,D,146665,40.71,FALSE,FALSE
CA 49,Levin,D,197397,52.17,TRUE,TRUE,FALSE,Gunderson,R,180950,47.83,FALSE,FALSE
CA 50,Peters,D,231836,64.27,TRUE,TRUE,FALSE,Bono,R,128859,35.73,FALSE,FALSE
CA 51,Jacobs,D,198835,60.7,TRUE,TRUE,FALSE,Wells,R,128749,39.3,FALSE,FALSE
CA 52,Vargas,D,172217,66.31,TRUE,TRUE,FALSE,Lee,R,87501,33.69,FALSE,FALSE
CO 01,DeGette,D,264606,76.56,TRUE,TRUE,FALSE,Archuleta,R,74598,21.58,FALSE,FALSE
CO 02,Neguse,D,284994,68.36,TRUE,TRUE,FALSE,Dawson,R,120633,28.94,FALSE,FALSE
CO 03,Hurd,R,201951,50.8,TRUE,FALSE,FALSE,Frisch,D,182147,45.82,FALSE,FALSE
CO 04,Boebert,R,240213,53.64,TRUE,FALSE,FALSE,Calvarese,D,188249,42.04,FALSE,FALSE
CO 05,Crank,R,197924,54.66,TRUE,FALSE,FALSE,Gassen,D,147972,40.87,FALSE,FALSE
CO 06,Crow,D,202686,58.97,TRUE,TRUE,FALSE,Fabbricatore,R,132174,38.46,FALSE,FALSE
CO 07,Pettersen,D,235688,55.34,TRUE,TRUE,FALSE,Matveyuk,R,175273,41.15,FALSE,FALSE
CO 08,Evans,R,163320,48.96,TRUE,FALSE,FALSE,Caraveo,D,160871,48.22,FALSE,TRUE
CT 01,Larson,D,208649,63.13,TRUE,TRUE,FALSE,Griffin,R,115065,34.82,FALSE,FALSE
CT 02,Courtney,D,218162,58.02,TRUE,TRUE,FALSE,France,R,157878,41.98,FALSE,FALSE
CT 03,DeLauro,D,193684,58.91,TRUE,TRUE,FALSE,Massey,R,135113,41.09,FALSE,FALSE
CT 04,Himes,D,200791,61.06,TRUE,TRUE,FALSE,Goldstein,R,122793,37.34,FALSE,FALSE
CT 05,Hayes,D,180268,53.41,TRUE,TRUE,FALSE,Logan,R,157258,46.59,FALSE,FALSE
DE 01,McBride,D,287830,57.86,TRUE,FALSE,FALSE,Whalen,R,209606,42.14,FALSE,FALSE
FL 01,Gaetz,R,274108,66.04,TRUE,TRUE,FALSE,Valimont,D,140980,33.96,FALSE,FALSE
FL 02,Dunn,R,247957,61.64,TRUE,TRUE,FALSE,Bailey,D,154323,38.36,FALSE,FALSE
FL 03,Cammack,R,241174,61.61,TRUE,TRUE,FALSE,Wells,D,150283,38.39,FALSE,FALSE
FL 04,Bean,R,222364,57.27,TRUE,TRUE,FALSE,Holloway,D,165912,42.73,FALSE,FALSE
FL 05,Rutherford,R,267471,63.08,TRUE,TRUE,FALSE,McGovern,D,156570,36.92,FALSE,FALSE
FL 06,Waltz,R,284414,66.54,TRUE,TRUE,FALSE,Stockton,D,143050,33.46,FALSE,FALSE
FL 07,Mills,R,233937,56.53,TRUE,TRUE,FALSE,Adams,D,179917,43.47,FALSE,FALSE
FL 08,Haridopolos,R,280352,62.24,TRUE,FALSE,FALSE,Kennedy,D,170096,37.76,FALSE,FALSE
FL 09,Soto,D,178785,55.13,TRUE,TRUE,FALSE,Chalifoux,R,138076,42.58,FALSE,FALSE
FL 10,Frost,D,181455,62.37,TRUE,TRUE,FALSE,Montague,R,109460,37.63,FALSE,FALSE
FL 11,Webster,R,269277,60.38,TRUE,TRUE,FALSE,Harden Hall,D,176726,39.62,FALSE,FALSE
FL 12,Bilirakis,R,306487,71.04,TRUE,TRUE,FALSE,Aboujaoude,D,124949,28.96,FALSE,FALSE
FL 13,Luna,R,225636,54.82,TRUE,TRUE,FALSE,Fox,D,185930,45.18,FALSE,FALSE
FL 14,Castor,D,199423,56.95,TRUE,TRUE,FALSE,Rochford,R,145643,41.59,FALSE,FALSE
FL 15,Lee,R,195334,56.18,TRUE,TRUE,FALSE,Kemp,D,152361,43.82,FALSE,FALSE
FL 16,Buchanan,R,247516,59.48,TRUE,TRUE,FALSE,Schneider,D,168625,40.52,FALSE,FALSE
FL 17,Steube,R,291347,63.9,TRUE,TRUE,FALSE,Lopez,D,164566,36.1,FALSE,FALSE
FL 18,Franklin,R,225170,65.3,TRUE,TRUE,FALSE,Kale,D,119637,34.7,FALSE,FALSE
FL 19,Donalds,R,275708,66.32,TRUE,TRUE,FALSE,Lerner,D,140038,33.68,FALSE,FALSE
FL 20,Cherfilus-McCormick,D,0,100,TRUE,TRUE,FALSE,,,,,,
FL 21,Mast,R,277435,61.82,TRUE,TRUE,FALSE,Witkop,D,171312,38.18,FALSE,FALSE
FL 22,Frankel,D,201608,54.96,TRUE,TRUE,FALSE,Franzese,R,165248,45.04,FALSE,FALSE
FL 23,Moskowitz,D,196311,52.45,TRUE,TRUE,FALSE,Kaufman,R,178006,47.55,FALSE,FALSE
FL 24,Wilson,D,194874,68.24,TRUE,TRUE,FALSE,Navarro,R,90692,31.76,FALSE,FALSE
FL 25,Wasserman Schultz,D,186942,54.48,TRUE,TRUE,FALSE,Eddy,R,156208,45.52,FALSE,FALSE
FL 26,Diaz-Balart,R,217199,70.92,TRUE,TRUE,FALSE,Atkins,D,89072,29.08,FALSE,FALSE
FL 27,Salazar,R,199159,60.38,TRUE,TRUE,FALSE,Baez-Geller,D,130708,39.62,FALSE,FALSE
FL 28,Gimenez,R,210057,64.57,TRUE,TRUE,FALSE,Ehr,D,115280,35.43,FALSE,FALSE
GA 01,Carter,R,220576,61.98,TRUE,TRUE,FALSE,Hewitt,D,135281,38.02,FALSE,FALSE
GA 02,Bishop,D,176028,56.33,TRUE,TRUE,FALSE,Johnson,R,136473,43.67,FALSE,FALSE
GA 03,Jack,R,273036,66.31,TRUE,FALSE,FALSE,Keller,D,138749,33.69,FALSE,FALSE
GA 04,Johnson,D,229290,75.58,TRUE,TRUE,FALSE,Yu,R,74071,24.42,FALSE,FALSE
GA 05,Williams,D,294470,85.68,TRUE,TRUE,FALSE,Salvesen,R,49221,14.32,FALSE,FALSE
GA 06,McBath,D,277027,74.68,TRUE,TRUE,FALSE,Criswell,R,93909,25.32,FALSE,FALSE
GA 07,McCormick,R,275907,64.85,TRUE,TRUE,FALSE,Christian,D,149535,35.15,FALSE,FALSE
GA 08,Scott,R,231547,68.92,TRUE,TRUE,FALSE,Butler,D,104434,31.08,FALSE,FALSE
GA 09,Clyde,R,271062,69,TRUE,TRUE,FALSE,Cash,D,121754,31,FALSE,FALSE
GA 10,Collins,R,256442,63.05,TRUE,TRUE,FALSE,Doherty,D,150274,36.95,FALSE,FALSE
GA 11,Loudermilk,R,269849,67.31,TRUE,TRUE,FALSE,Stamper,D,131064,32.69,FALSE,FALSE
GA 12,Allen,R,205849,60.32,TRUE,TRUE,FALSE,Johnson,D,135417,39.68,FALSE,FALSE
GA 13,Scott,D,256902,71.83,TRUE,TRUE,FALSE,Chavez,R,100730,28.17,FALSE,FALSE
GA 14,Greene,R,243446,64.37,TRUE,TRUE,FALSE,Harris,D,134759,35.63,FALSE,FALSE
HI 01,Case,D,164237,71.84,TRUE,TRUE,FALSE,Largey,R,64373,28.16,FALSE,FALSE
HI 02,Tokuda,D,166251,66.46,TRUE,TRUE,FALSE,Bond,R,75471,30.17,FALSE,FALSE
IA 01,Miller-Meeks,R,206955,50.1,TRUE,TRUE,FALSE,Bohannan,D,206156,49.9,FALSE,FALSE
IA 02,Hinson,R,233340,57.13,TRUE,TRUE,FALSE,Corkery,D,169740,41.56,FALSE,FALSE
IA 03,Nunn,R,213746,51.92,TRUE,TRUE,FALSE,Baccam,D,197962,48.08,FALSE,FALSE
IA 04,Feenstra,R,250522,67.22,TRUE,TRUE,FALSE,Melton,D,122175,32.78,FALSE,FALSE
ID 01,Fulcher,R,331049,71.01,TRUE,TRUE,FALSE,Peterson,D,118656,25.45,FALSE,FALSE
ID 02,Simpson,R,250119,61.38,TRUE,TRUE,FALSE,Roth,D,126229,30.98,FALSE,FALSE
IL 01,Jackson,D,208398,65.85,TRUE,TRUE,FALSE,Lewis,R,108064,34.15,FALSE,FALSE
IL 02,Kelly,D,195777,67.56,TRUE,TRUE,FALSE,Ramos,R,94004,32.44,FALSE,FALSE
IL 03,Ramirez,D,174825,67.29,TRUE,TRUE,FALSE,Booras,R,84987,32.71,FALSE,FALSE
IL 04,Garcia,D,139343,67.52,TRUE,TRUE,FALSE,Castillo,R,56323,27.29,FALSE,FALSE
IL 05,Quigley,D,251025,68.97,TRUE,TRUE,FALSE,Hanson,R,112931,31.03,FALSE,FALSE
IL 06,Casten,D,196647,54.21,TRUE,TRUE,FALSE,Conforti,R,166116,45.79,FALSE,FALSE
IL 07,Davis,D,222408,83.3,TRUE,TRUE,FALSE,Koppie,R,44598,16.7,FALSE,FALSE
IL 08,Krishnamoorthi,D,172920,57.06,TRUE,TRUE,FALSE,Rice,R,130153,42.94,FALSE,FALSE
IL 09,Schakowsky,D,231722,68.39,TRUE,TRUE,FALSE,Cohen,R,107106,31.61,FALSE,FALSE
IL 10,Schneider,D,196358,59.98,TRUE,TRUE,FALSE,Carris,R,131025,40.02,FALSE,FALSE
IL 11,Foster,D,199825,55.59,TRUE,TRUE,FALSE,Evans,R,159630,44.41,FALSE,FALSE
IL 12,Bost,R,272754,74.19,TRUE,TRUE,FALSE,Roberts,D,94875,25.81,FALSE,FALSE
IL 13,Budzinski,D,191339,58.11,TRUE,TRUE,FALSE,Loyd,R,137917,41.89,FALSE,FALSE
IL 14,Underwood,D,183446,55.1,TRUE,TRUE,FALSE,Marter,R,149464,44.9,FALSE,FALSE
IL 15,Miller,R,308825,100,TRUE,TRUE,FALSE,,,,,,
IL 16,LaHood,R,310925,100,TRUE,TRUE,FALSE,,,,,,
IL 17,Sorensen,D,170261,54.43,TRUE,TRUE,FALSE,McGraw,R,142567,45.57,FALSE,FALSE
IN 01,Mrvan,D,172467,53.44,TRUE,TRUE,FALSE,Niemeyer,R,145056,44.95,FALSE,FALSE
IN 02,Yakym,R,184848,62.74,TRUE,TRUE,FALSE,Camp,D,101962,34.61,FALSE,FALSE
IN 03,Stutzman,R,202653,65.05,TRUE,FALSE,FALSE,Adolph,D,97871,31.42,FALSE,FALSE
IN 04,Baird,R,209794,64.83,TRUE,TRUE,FALSE,Holder,D,100091,30.93,FALSE,FALSE
IN 05,Spartz,R,203293,56.6,TRUE,TRUE,FALSE,Pickett,D,136554,38.02,FALSE,FALSE
IN 06,Shreve,R,201357,63.94,TRUE,FALSE,FALSE,Wirth,D,99841,31.7,FALSE,FALSE
IN 07,Carson,D,185987,68.34,TRUE,TRUE,FALSE,Schmitz,R,78792,28.95,FALSE,FALSE
IN 08,Messmer,R,219941,67.96,TRUE,FALSE,FALSE,Hurt,D,95311,29.45,FALSE,FALSE
IN 09,Houchin,R,222884,64.47,TRUE,TRUE,FALSE,Peck,D,113400,32.8,FALSE,FALSE
KS 01,Mann,R,210493,69.14,TRUE,TRUE,FALSE,Buskirk,D,93965,30.86,FALSE,FALSE
KS 02,Schmidt,R,172847,57.09,TRUE,FALSE,FALSE,Boyda,D,115685,38.21,FALSE,FALSE
KS 03,Davids,D,209871,53.36,TRUE,TRUE,FALSE,Reddy,R,167570,42.6,FALSE,FALSE
KS 04,Estes,R,198465,65.05,TRUE,TRUE,FALSE,Freeman,D,106632,34.95,FALSE,FALSE
KY 01,Comer,R,252729,74.72,TRUE,TRUE,FALSE,Marshall,D,85524,25.28,FALSE,FALSE
KY 02,Guthrie,R,252826,73.1,TRUE,TRUE,FALSE,Linderman,D,93029,26.9,FALSE,FALSE
KY 03,McGarvey,D,203100,61.96,TRUE,TRUE,FALSE,Craven,R,124713,38.04,FALSE,FALSE
KY 04,Massie,R,278386,100,TRUE,TRUE,FALSE,,,,,,
KY 05,Rogers,R,261407,100,TRUE,TRUE,FALSE,,,,,,
KY 06,Barr,R,222293,63.04,TRUE,TRUE,FALSE,Cravens,D,130345,36.96,FALSE,FALSE
LA 01,Scalise,R,238842,66.77,TRUE,TRUE,FALSE,Manuel,D,85911,24.02,FALSE,FALSE
LA 02,Carter,D,184009,60.29,TRUE,TRUE,FALSE,Lynch,R,41641,13.64,FALSE,FALSE
LA 03,Higgins,R,226279,70.56,TRUE,TRUE,FALSE,Gonzalez,D,59834,18.66,FALSE,FALSE
LA 04,Johnson,R,262821,85.82,TRUE,TRUE,FALSE,Morott,R,43427,14.18,FALSE,FALSE
LA 05,Letlow,R,201037,62.85,TRUE,TRUE,FALSE,Vallien,D,82981,25.94,FALSE,FALSE
LA 06,Fields,D,150323,50.78,TRUE,FALSE,FALSE,Guillory,R,111737,37.74,FALSE,FALSE
MA 01,Neal,D,223325,62.58,TRUE,TRUE,FALSE,Milleron,I,133552,37.42,FALSE,FALSE
MA 02,McGovern,D,251441,68.79,TRUE,TRUE,FALSE,Shea,I,114065,31.21,FALSE,FALSE
MA 03,Trahan,D,264698,100,TRUE,TRUE,FALSE,,,,,,
MA 04,Auchincloss,D,289347,100,TRUE,TRUE,FALSE,,,,,,
MA 05,Clark,D,286689,100,TRUE,TRUE,FALSE,,,,,,
MA 06,Moulton,D,321186,100,TRUE,TRUE,FALSE,,,,,,
MA 07,Pressley,D,232094,100,TRUE,TRUE,FALSE,,,,,,
MA 08,Lynch,D,265432,70.58,TRUE,TRUE,FALSE,Burke,R,110638,29.42,FALSE,FALSE
MA 09,Keating,D,251931,56.52,TRUE,TRUE,FALSE,Sullivan,R,193822,43.48,FALSE,FALSE
MD 01,Harris,R,246356,59.51,TRUE,TRUE,FALSE,Miller,D,154985,37.44,FALSE,FALSE
MD 02,Olszewski,D,223797,58.27,TRUE,FALSE,FALSE,Klacik,R,152079,39.6,FALSE,FALSE
MD 03,Elfreth,D,236681,59.42,TRUE,FALSE,FALSE,Steinberger,R,151186,37.95,FALSE,FALSE
MD 04,Ivey,D,239596,88.72,TRUE,TRUE,FALSE,McDermott,R,30454,11.28,FALSE,FALSE
MD 05,Hoyer,D,283619,67.92,TRUE,TRUE,FALSE,Talkington,R,133985,32.08,FALSE,FALSE
MD 06,McClain Delaney,D,199788,53.17,TRUE,FALSE,FALSE,Parrott,R,175974,46.83,FALSE,FALSE
MD 07,Mfume,D,232849,80.43,TRUE,TRUE,FALSE,Collier,R,49799,17.2,FALSE,FALSE
MD 08,Raskin,D,292101,76.96,TRUE,TRUE,FALSE,Riley,R,77821,20.5,FALSE,FALSE
ME 01,Pingree,D,249948,58.69,TRUE,TRUE,FALSE,Russell,R,155076,36.41,FALSE,FALSE
ME 02,Golden,D,197151,50.47,TRUE,TRUE,FALSE,Theriault,R,194445,49.78,FALSE,FALSE
MI 01,Bergman,R,282264,59.15,TRUE,TRUE,FALSE,Barr,D,180937,37.92,FALSE,FALSE
MI 02,Moolenaar,R,279167,65.14,TRUE,TRUE,FALSE,Lynch,D,135824,31.69,FALSE,FALSE
MI 03,Scholten,D,225510,53.66,TRUE,TRUE,FALSE,Hudson,R,183952,43.77,FALSE,FALSE
MI 04,Huizenga,R,234489,55.07,TRUE,TRUE,FALSE,Swartz,D,184641,43.36,FALSE,FALSE
MI 05,Walberg,R,269215,65.68,TRUE,TRUE,FALSE,Urban,D,134282,32.76,FALSE,FALSE
MI 06,Dingell,D,281162,62.02,TRUE,TRUE,FALSE,Smiley,R,158658,35,FALSE,FALSE
MI 07,Barrett,R,226722,50.28,TRUE,FALSE,FALSE,Hertel,D,209959,46.56,FALSE,FALSE
MI 08,McDonald Rivet,D,217490,51.25,TRUE,FALSE,FALSE,Junge,R,189317,44.61,FALSE,FALSE
MI 09,McClain,R,312593,66.76,TRUE,TRUE,FALSE,St. Mosley,D,138138,29.5,FALSE,FALSE
MI 10,James,R,217437,51.13,TRUE,TRUE,FALSE,Marlinga,D,191363,44.99,FALSE,FALSE
MI 11,Stevens,D,260780,58.22,TRUE,TRUE,FALSE,Somberg,R,177432,39.61,FALSE,FALSE
MI 12,Tlaib,D,253354,69.7,TRUE,TRUE,FALSE,Hooper,R,92490,25.44,FALSE,FALSE
MI 13,Thanedar,D,220788,68.65,TRUE,TRUE,FALSE,Bivings,R,78917,24.54,FALSE,FALSE
MN 01,Finstad,R,220929,58.55,TRUE,TRUE,FALSE,Bohman,D,156375,41.45,FALSE,FALSE
MN 02,Craig,D,231751,55.59,TRUE,TRUE,FALSE,Teirab,R,175621,42.13,FALSE,FALSE
MN 03,Morrison,D,240209,58.5,TRUE,FALSE,FALSE,Jude,R,170427,41.5,FALSE,FALSE
MN 04,McCollum,D,242802,67.37,TRUE,TRUE,FALSE,Xiong,R,117618,32.63,FALSE,FALSE
MN 05,Omar,D,261066,75.17,TRUE,TRUE,FALSE,Al-Aqidi,R,86213,24.83,FALSE,FALSE
MN 06,Emmer,R,260095,62.53,TRUE,TRUE,FALSE,Hendricks,D,155836,37.47,FALSE,FALSE
MN 07,Fischbach,R,275098,70.52,TRUE,TRUE,FALSE,Peters,D,114979,29.48,FALSE,FALSE
MN 08,Stauber,R,244498,58.04,TRUE,TRUE,FALSE,Schultz,D,176724,41.96,FALSE,FALSE
MO 01,Bell,D,233312,75.93,TRUE,FALSE,FALSE,Jones,R,56453,18.37,FALSE,FALSE
MO 02,Wagner,R,233444,54.49,TRUE,TRUE,FALSE,Hartmann,D,182056,42.5,FALSE,FALSE
MO 03,Onder,R,240620,61.31,TRUE,FALSE,FALSE,Mann,D,138532,35.3,FALSE,FALSE
MO 04,Alford,R,259886,71.07,TRUE,TRUE,FALSE,Cass,D,96568,26.41,FALSE,FALSE
MO 05,Cleaver,D,199900,60.22,TRUE,TRUE,FALSE,Smith,R,120957,36.44,FALSE,FALSE
MO 06,Graves,R,265210,70.69,TRUE,TRUE,FALSE,May,D,100999,26.92,FALSE,FALSE
MO 07,Burlison,R,263231,71.56,TRUE,TRUE,FALSE,Hesketh,D,96655,26.27,FALSE,FALSE
MO 08,Smith,R,271249,76.18,TRUE,TRUE,FALSE,McCallian,D,77649,21.81,FALSE,FALSE
MS 01,Kelly,R,223589,69.81,TRUE,TRUE,FALSE,Black,D,96697,30.19,FALSE,FALSE
MS 02,Thompson,D,177885,62.02,TRUE,TRUE,FALSE,Eller,R,108956,37.98,FALSE,FALSE
MS 03,Guest,R,263239,100,TRUE,TRUE,FALSE,,,,,,
MS 04,Ezell,R,215095,73.95,TRUE,TRUE,FALSE,Raybon,D,75771,26.05,FALSE,FALSE
MT 01,Zinke,R,168529,52.29,TRUE,TRUE,FALSE,Tranel,D,143783,44.62,FALSE,FALSE
MT 02,Downing,R,181832,65.99,TRUE,FALSE,FALSE,Driscoll,D,93713,34.01,FALSE,FALSE
NC 01,Davis,D,186341,49.52,TRUE,TRUE,FALSE,Buckhout,R,180034,47.84,FALSE,FALSE
NC 02,Ross,D,268662,66.25,TRUE,TRUE,FALSE,Swain,R,128164,31.61,FALSE,FALSE
NC 03,Murphy,R,248276,77.38,TRUE,TRUE,FALSE,Cormos,LB,72565,22.62,FALSE,FALSE
NC 04,Foushee,D,308064,71.85,TRUE,TRUE,FALSE,Blankenburg,R,112084,26.14,FALSE,FALSE
NC 05,Foxx,R,238304,59.47,TRUE,TRUE,FALSE,Hubbard,D,162390,40.53,FALSE,FALSE
NC 06,McDowell,R,233303,69.16,TRUE,FALSE,FALSE,Hayes,CS,104017,30.84,FALSE,FALSE
NC 07,Rouzer,R,254022,58.59,TRUE,TRUE,FALSE,Pridgen,D,179512,41.41,FALSE,FALSE
NC 08,Harris,R,238640,59.61,TRUE,FALSE,FALSE,Dues,D,161709,40.39,FALSE,FALSE
NC 09,Hudson,R,210042,56.3,TRUE,TRUE,FALSE,Bristow,D,140852,37.75,FALSE,FALSE
NC 10,Harrigan,R,233814,57.49,TRUE,FALSE,FALSE,Scott,D,155383,38.21,FALSE,FALSE
