"Fact","Fact Note","Ohio","Value Note for Ohio","Oklahoma","Value Note for Oklahoma","Oregon","Value Note for Oregon","Pennsylvania","Value Note for Pennsylvania","Rhode Island","Value Note for Rhode Island","South Carolina","Value Note for South Carolina"
"Veterans, 2019-2023","","626,617","","247,634","","252,530","","656,112","","47,214","","344,530",""
"Foreign-born persons, percent, 2019-2023","","5.0%","","6.3%","","9.7%","","7.4%","","14.8%","","5.6%",""
"Housing Units, July 1, 2023, (V2023)","","5,317,298","","1,788,972","","1,879,586","","5,839,963","","487,132","","2,490,344",""
"Owner-occupied housing unit rate, 2019-2023","","67.0%","","65.8%","","63.4%","","69.3%","","63.3%","","71.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$199,200","","$185,900","","$454,200","","$240,500","","$368,800","","$236,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,472","","$1,479","","$2,080","","$1,722","","$2,190","","$1,475",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$570","","$496","","$663","","$630","","$873","","$433",""
"Median gross rent, 2019-2023","","$988","","$980","","$1,450","","$1,162","","$1,273","","$1,126",""
"Building Permits, 2023","","27,318","","13,405","","17,697","1","25,320","","1,169","","42,474",""
"Households, 2019-2023","","4,829,571","","1,542,780","","1,701,548","","5,235,339","","436,902","","2,070,390",""
"Persons per household, 2019-2023","","2.38","","2.51","","2.43","","2.40","","2.40","","2.45",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.6%","","85.1%","","85.5%","","88.9%","","88.8%","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.7%","","11.3%","","15.1%","","12.0%","","22.7%","","8.2%",""
"Households with a computer, percent, 2019-2023","","93.6%","","94.1%","","96.2%","","92.9%","","94.1%","","93.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.8%","","87.2%","","91.6%","","88.5%","","90.7%","","86.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.6%","","89.1%","","91.7%","","91.9%","","89.5%","","89.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.9%","","27.8%","","36.2%","","34.5%","","37.3%","","31.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.2%","","12.3%","","10.8%","","10.2%","","9.8%","","10.1%",""
"Persons without health insurance, under age 65 years, percent","","7.4%","","13.5%","","6.7%","","6.6%","","5.4%","","11.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.1%","","60.5%","","62.2%","","62.7%","","64.6%","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.2%","","56.0%","","58.3%","","58.6%","","60.9%","","55.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","31,409,389","","12,056,914","","14,476,964","","34,888,736","","4,436,525","","17,879,711",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","121,139,931","","33,941,986","","42,776,129","","154,216,328","","11,494,135","","38,362,166",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","45,388,800","","19,582,315","","13,119,177","","42,748,848","","1,887,495","","11,374,736",""
"Total retail sales, 2022 ($1,000)","(c)","246,331,444","","76,095,664","","107,313,788","","301,886,383","","18,495,146","","102,257,745",""
"Total retail sales per capita, 2022","(c)","$20,947","","$18,933","","$25,314","","$23,272","","$16,908","","$19,356",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.6","","22.4","","23.2","","26.6","","25.5","","25.6",""
"Median households income (in 2023 dollars), 2019-2023","","$69,680","","$63,603","","$80,426","","$76,081","","$86,372","","$66,818",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,455","","$34,859","","$44,063","","$43,104","","$45,919","","$37,993",""
"Persons in poverty, percent","","13.3%","","15.9%","","12.2%","","12.0%","","10.8%","","13.9%",""
"Total employer establishments, 2022","","254,594","","95,748","","122,397","","307,685","","29,490","","120,769",""
"Total employment, 2022","","4,963,808","","1,390,468","","1,666,806","","5,584,830","","439,021","","2,013,315",""
"Total annual payroll, 2022 ($1,000)","","285,334,397","","73,540,249","","104,057,684","","341,442,697","","25,938,110","","102,955,987",""
"Total employment, percent change, 2021-2022","","2.9%","","3.3%","","5.8%","","5.8%","","6.4%","","4.0%",""
"Total nonemployer establishments, 2022","","898,451","","323,064","","320,778","","938,764","","92,358","","440,037",""
"All employer firms, Reference year 2022","","170,212","","68,131","","91,261","","214,407","","23,144","","84,727",""
"Men-owned employer firms, Reference year 2022","","109,119","","40,423","","50,710","","138,704","","14,956","","53,664",""
"Women-owned employer firms, Reference year 2022","","34,213","","13,472","","20,211","","42,550","","4,231","","18,824",""
"Minority-owned employer firms, Reference year 2022","","18,173","","11,809","","14,149","","28,975","","2,793","","12,343",""
"Nonminority-owned employer firms, Reference year 2022","","139,938","","49,932","","69,577","","170,420","","18,374","","66,777",""
"Veteran-owned employer firms, Reference year 2022","","8,614","","4,091","","4,505","","9,012","","969","","6,059",""
"Nonveteran-owned employer firms, Reference year 2022","","147,848","","58,024","","79,078","","188,660","","19,986","","71,992",""
"Population per square mile, 2020","","288.8","","57.7","","44.1","","290.6","","1,061.4","","170.3",""
"Population per square mile, 2010","","282.3","","54.7","","39.9","","283.9","","1,018.1","","153.9",""
"Land area in square miles, 2020","","40,858.76","","68,596.53","","95,995.98","","44,742.27","","1,033.89","","30,064.28",""
"Land area in square miles, 2010","","40,860.69","","68,594.92","","95,988.01","","44,742.70","","1,033.81","","30,060.70",""
"FIPS Code","","""39""","","""40""","","""41""","","""42""","","""44""","","""45""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
