"Fact","Fact Note","Colorado","Value Note for Colorado","Connecticut","Value Note for Connecticut","Delaware","Value Note for Delaware","District of Columbia","Value Note for District of Columbia","Florida","Value Note for Florida","Georgia","Value Note for Georgia"
"Building Permits, 2023","","39,404","","6,272","","5,765","","3,020","","193,788","","63,621",""
"Households, 2019-2023","","2,325,576","","1,420,170","","396,209","","321,556","","8,550,911","","4,008,013",""
"Persons per household, 2019-2023","","2.45","","2.47","","2.48","","1.99","","2.51","","2.64",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.4%","","88.9%","","88.8%","","80.6%","","86.0%","","86.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","16.1%","","23.0%","","14.8%","","18.0%","","30.1%","","15.0%",""
"Households with a computer, percent, 2019-2023","","96.8%","","94.8%","","95.6%","","96.0%","","96.0%","","95.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.8%","","91.1%","","91.4%","","90.2%","","90.2%","","89.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.8%","","91.3%","","91.4%","","92.8%","","89.6%","","89.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","44.7%","","41.9%","","35.3%","","63.6%","","33.2%","","34.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%","","8.4%","","9.9%","","7.9%","","8.8%","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","7.9%","","6.9%","","8.0%","","3.0%","","13.4%","","13.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.7%","","65.8%","","61.8%","","71.4%","","59.2%","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.5%","","61.8%","","58.5%","","69.7%","","55.0%","","59.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","26,052,155","","12,385,868","","3,350,255","","7,075,654","","94,559,362","","36,524,926",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","52,722,035","","45,537,226","","11,972,722","","14,349,578","","211,744,080","","95,053,842",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","24,917,676","","7,998,394","","2,042,199","","2,470,280","","98,048,310","","55,684,552",""
"Total retail sales, 2022 ($1,000)","(c)","120,881,315","","72,459,098","","24,220,761","","7,707,785","","484,218,148","","216,836,912",""
"Total retail sales per capita, 2022","(c)","$20,695","","$20,079","","$23,758","","$11,488","","$21,767","","$19,869",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.5","","26.6","","26.1","","30.3","","28.0","","28.3",""
"Median households income (in 2023 dollars), 2019-2023","","$92,470","","$93,760","","$82,855","","$106,287","","$71,711","","$74,664",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$50,489","","$54,409","","$44,219","","$75,253","","$41,055","","$39,525",""
"Persons in poverty, percent","","9.3%","","10.3%","","10.5%","","14.0%","","12.3%","","13.6%",""
"Total employer establishments, 2022","","181,963","","89,293","","29,195","","23,874","","633,353","","258,377",""
"Total employment, 2022","","2,481,196","","1,508,634","","424,303","","527,355","","9,628,867","","4,249,362",""
"Total annual payroll, 2022 ($1,000)","","169,057,790","","112,497,475","","28,639,674","","52,216,924","","556,430,324","","260,014,888",""
"Total employment, percent change, 2021-2022","","2.7%","","4.6%","","3.8%","","9.1%","","8.5%","","5.3%",""
"Total nonemployer establishments, 2022","","583,986","","312,711","","88,530","","65,130","","2,968,201","","1,175,541",""
"All employer firms, Reference year 2022","","140,676","","65,594","","22,226","","15,253","","487,617","","187,538",""
"Men-owned employer firms, Reference year 2022","","81,281","","42,710","","13,715","","7,730","","295,466","","117,497",""
"Women-owned employer firms, Reference year 2022","","34,796","","12,321","","4,385","","3,547","","115,979","","44,187",""
"Minority-owned employer firms, Reference year 2022","","20,019","","11,324","","4,525","","4,532","","146,054","","52,089",""
"Nonminority-owned employer firms, Reference year 2022","","110,261","","48,443","","15,291","","7,418","","316,983","","124,488",""
"Veteran-owned employer firms, Reference year 2022","","7,631","","2,641","","958","","530","","23,793","","10,394",""
"Nonveteran-owned employer firms, Reference year 2022","","123,091","","56,929","","18,720","","11,536","","440,163","","165,015",""
"Population per square mile, 2020","","55.7","","744.7","","508.0","","11,280.7","","401.4","","185.6",""
"Population per square mile, 2010","","48.5","","738.1","","460.8","","9,856.5","","350.6","","168.4",""
"Land area in square miles, 2020","","103,637.06","","4,842.37","","1,948.55","","61.13","","53,652.17","","57,716.96",""
"Land area in square miles, 2010","","103,641.89","","4,842.36","","1,948.54","","61.05","","53,624.76","","57,513.49",""
"FIPS Code","","""08""","","""09""","","""10""","","""11""","","""12""","","""13""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
