"Fact","Fact Note","South Dakota","Value Note for South Dakota","Tennessee","Value Note for Tennessee","Texas","Value Note for Texas","Utah","Value Note for Utah","Vermont","Value Note for Vermont","Virginia","Value Note for Virginia"
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%","","0.1%","","0.2%","","1.2%","","Z","","0.1%",""
"Two or More Races, percent","","2.8%","","2.3%","","2.3%","","3.0%","","2.2%","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","5.1%","","7.5%","","39.8%","","16.0%","","2.6%","","11.2%",""
"White alone, not Hispanic or Latino, percent","","80.5%","","72.0%","","39.6%","","75.7%","","91.5%","","59.1%",""
"Veterans, 2019-2023","","54,527","","406,307","","1,408,009","","113,093","","34,076","","637,971",""
"Foreign-born persons, percent, 2019-2023","","3.9%","","5.9%","","17.2%","","8.6%","","4.3%","","12.9%",""
"Housing Units, July 1, 2023, (V2023)","","417,220","","3,195,304","","12,395,364","","1,258,623","","341,375","","3,717,677",""
"Owner-occupied housing unit rate, 2019-2023","","68.6%","","67.0%","","62.6%","","70.6%","","72.8%","","67.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$236,800","","$256,800","","$260,400","","$455,000","","$290,500","","$360,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,618","","$1,506","","$2,012","","$1,927","","$1,877","","$2,079",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$597","","$455","","$650","","$534","","$813","","$566",""
"Median gross rent, 2019-2023","","$912","","$1,122","","$1,339","","$1,405","","$1,193","","$1,514",""
"Building Permits, 2023","","7,072","","47,463","","232,373","","25,361","","2,456","","36,096",""
"Households, 2019-2023","","358,552","","2,768,743","","10,747,240","","1,094,896","","269,466","","3,326,260",""
"Persons per household, 2019-2023","","2.42","","2.47","","2.70","","2.99","","2.30","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.5%","","86.7%","","85.7%","","85.5%","","87.8%","","86.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.7%","","8.3%","","34.9%","","15.7%","","5.5%","","17.2%",""
"Households with a computer, percent, 2019-2023","","93.6%","","93.5%","","95.6%","","97.6%","","94.1%","","94.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.5%","","87.4%","","90.0%","","92.8%","","87.9%","","89.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.0%","","89.6%","","85.7%","","93.3%","","94.5%","","91.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.1%","","30.4%","","33.1%","","36.9%","","42.6%","","41.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.1%","","10.7%","","8.4%","","7.7%","","10.7%","","8.5%",""
"Persons without health insurance, under age 65 years, percent","","10.0%","","11.1%","","18.7%","","9.0%","","4.3%","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.0%","","61.7%","","64.7%","","69.4%","","64.5%","","63.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.7%","","57.3%","","58.9%","","62.4%","","62.2%","","60.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,992,306","","24,026,772","","101,333,127","","10,093,510","","2,585,645","","27,454,254",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","10,687,294","","67,569,204","","253,192,012","","26,852,434","","6,842,309","","76,107,236",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,505,126","","33,091,113","","141,813,905","","15,844,454","","989,473","","28,159,556",""
"Total retail sales, 2022 ($1,000)","(c)","20,998,722","","149,013,235","","608,178,719","","79,042,386","","14,107,103","","159,207,647",""
"Total retail sales per capita, 2022","(c)","$23,079","","$21,140","","$20,252","","$23,377","","$21,800","","$18,344",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.6","","25.7","","26.7","","22.0","","23.4","","27.6",""
"Median households income (in 2023 dollars), 2019-2023","","$72,421","","$67,097","","$76,292","","$91,750","","$78,024","","$90,974",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,880","","$37,866","","$39,446","","$39,240","","$44,365","","$49,217",""
"Persons in poverty, percent","","11.8%","","14.0%","","13.7%","","9.0%","","9.7%","","10.2%",""
"Total employer establishments, 2022","","28,857","","147,924","","657,362","","93,706","","20,868","","209,244",""
"Total employment, 2022","","373,863","","2,846,881","","11,507,642","","1,521,640","","254,471","","3,494,956",""
"Total annual payroll, 2022 ($1,000)","","19,670,042","","161,157,703","","737,188,384","","89,418,575","","13,729,536","","234,462,103",""
"Total employment, percent change, 2021-2022","","2.7%","","5.3%","","6.6%","","6.1%","","6.1%","","4.6%",""
"Total nonemployer establishments, 2022","","74,028","","637,340","","3,023,525","","294,809","","64,930","","722,562",""
"All employer firms, Reference year 2022","","21,587","","95,453","","459,814","","74,451","","16,301","","146,633",""
"Men-owned employer firms, Reference year 2022","","12,409","","59,619","","278,501","","45,960","","8,892","","87,156",""
"Women-owned employer firms, Reference year 2022","","3,519","","18,201","","104,149","","13,429","","2,951","","36,625",""
"Minority-owned employer firms, Reference year 2022","","916","","13,251","","153,534","","7,966","","614","","38,241",""
"Nonminority-owned employer firms, Reference year 2022","","18,441","","74,359","","277,048","","61,295","","13,537","","98,421",""
"Veteran-owned employer firms, Reference year 2022","","1,389","","4,788","","23,458","","2,671","","836","","10,734",""
"Nonveteran-owned employer firms, Reference year 2022","","17,564","","81,816","","408,634","","66,830","","13,168","","124,877",""
"Population per square mile, 2020","","11.7","","167.6","","111.6","","39.7","","69.8","","218.6",""
"Population per square mile, 2010","","10.7","","153.9","","96.3","","33.6","","67.9","","202.6",""
"Land area in square miles, 2020","","75,809.61","","41,232.49","","261,267.85","","82,376.85","","9,217.45","","39,482.11",""
"Land area in square miles, 2010","","75,811.00","","41,234.90","","261,231.71","","82,169.62","","9,216.66","","39,490.09",""
"FIPS Code","","""46""","","""47""","","""48""","","""49""","","""50""","","""51""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
