"Fact","Fact Note","Kentucky","Value Note for Kentucky","Louisiana","Value Note for Louisiana","Maine","Value Note for Maine","Maryland","Value Note for Maryland","Massachusetts","Value Note for Massachusetts","Michigan","Value Note for Michigan"
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.2%","","58.8%","","61.9%","","66.5%","","67.1%","","61.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.4%","","55.3%","","58.8%","","62.8%","","63.6%","","57.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","11,656,465","","16,736,934","","5,173,608","","20,916,724","","28,679,963","","28,012,061",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","43,231,092","","44,396,044","","15,847,310","","64,555,492","","98,329,081","","94,603,501",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","18,580,730","","20,463,993","","2,756,874","","12,983,437","","18,712,723","","35,592,313",""
"Total retail sales, 2022 ($1,000)","(c)","88,306,628","","88,782,523","","34,415,647","","115,211,858","","153,190,723","","190,534,346",""
"Total retail sales per capita, 2022","(c)","$19,573","","$19,351","","$24,771","","$18,691","","$21,938","","$18,990",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.0","","25.8","","24.4","","31.5","","29.3","","24.4",""
"Median households income (in 2023 dollars), 2019-2023","","$62,417","","$60,023","","$71,773","","$101,652","","$101,341","","$71,149",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,960","","$34,211","","$42,035","","$51,689","","$56,284","","$39,538",""
"Persons in poverty, percent","","16.4%","","18.9%","","10.4%","","9.5%","","10.4%","","13.5%",""
"Total employer establishments, 2022","","93,549","","108,161","","43,185","","142,481","","182,919","","227,870",""
"Total employment, 2022","","1,667,694","","1,644,036","","533,151","","2,436,501","","3,396,919","","3,939,076",""
"Total annual payroll, 2022 ($1,000)","","86,111,636","","90,475,354","","29,597,269","","159,490,571","","287,176,143","","232,710,964",""
"Total employment, percent change, 2021-2022","","3.1%","","3.2%","","5.6%","","6.7%","","7.0%","","4.5%",""
"Total nonemployer establishments, 2022","","328,057","","430,224","","125,923","","586,327","","612,132","","809,426",""
"All employer firms, Reference year 2022","","61,481","","76,821","","32,898","","104,151","","136,712","","163,220",""
"Men-owned employer firms, Reference year 2022","","37,305","","45,597","","19,497","","63,745","","88,954","","106,444",""
"Women-owned employer firms, Reference year 2022","","12,412","","15,396","","6,522","","24,360","","27,549","","31,497",""
"Minority-owned employer firms, Reference year 2022","","6,179","","11,136","","1,291","","30,011","","19,942","","16,643",""
"Nonminority-owned employer firms, Reference year 2022","","50,421","","59,849","","28,647","","66,549","","106,917","","136,115",""
"Veteran-owned employer firms, Reference year 2022","","2,837","","4,031","","1,734","","5,747","","4,694","","5,465",""
"Nonveteran-owned employer firms, Reference year 2022","","52,920","","66,252","","27,711","","90,504","","121,659","","146,553",""
"Population per square mile, 2020","","114.1","","107.8","","44.2","","636.1","","901.2","","178.0",""
"Population per square mile, 2010","","109.9","","104.9","","43.1","","594.8","","839.4","","174.8",""
"Land area in square miles, 2020","","39,491.61","","43,210.23","","30,845.10","","9,711.20","","7,800.96","","56,608.22",""
"Land area in square miles, 2010","","39,486.34","","43,203.90","","30,842.92","","9,707.24","","7,800.06","","56,538.90",""
"FIPS Code","","""21""","","""22""","","""23""","","""24""","","""25""","","""26""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
