Fact,Fact Note,United States,,Alabama,,Alaska,Value Note for Alaska,Arizona,,Arkansas,,California,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Washington,,West Virginia,,Wisconsin,,Wyoming
"Persons 65 years and over, percent",,17.70%,,18.30%,,14.40%,,19.30%,,18.00%,,16.20%,18.40%,,17.40%,,13.70%,,12.20%,,22.10%,,17.20%,18.70%,,16.60%,,19.60%,,20.00%,,19.30%,,19.30%,20.80%,,17.70%,,19.80%,,18.60%,,17.60%,,17.00%,17.80%,,17.60%,,18.30%,,20.50%,,17.20%,,17.40%,17.80%,,17.40%,,23.00%,,17.30%,,18.50%,,19.20%,,21.10%,,17.40%,,17.60%,,17.20%,,18.60%,,17.50%,,16.00%,,19.10%,,21.30%,,13.10%,,21.70%,,15.40%,,17.10%,,21.50%,,19.10%,,19.20%
"Female persons, percent",,50.50%,,51.50%,,47.50%,,50.10%,,50.70%,,50.10%,49.20%,,51.00%,,50.10%,,49.30%,,50.40%,,50.60%,50.70%,,50.30%,,50.20%,,50.70%,,51.00%,,51.40%,50.10%,,50.80%,,50.30%,,51.20%,,51.10%,,48.70%,49.90%,,51.50%,,50.70%,,49.30%,,49.70%,,49.70%,50.40%,,51.10%,,50.70%,,51.40%,,51.10%,,50.40%,,49.80%,,49.70%,,50.60%,,50.40%,,49.90%,,49.90%,,49.40%,,51.00%,,51.60%,,52.60%,,50.90%,,51.30%,,49.60%,,50.10%,,49.90%,,48.80%
"White alone, percent",,75.30%,,68.90%,,64.20%,,81.50%,,78.40%,,70.40%,84.20%,,78.40%,,76.80%,,89.80%,,93.60%,,68.30%,80.60%,,72.90%,,85.60%,,80.60%,,82.40%,,69.00%,92.50%,,70.40%,,80.70%,,68.50%,,69.80%,,86.40%,82.30%,,58.70%,,82.40%,,88.70%,,87.30%,,71.50%,86.70%,,62.60%,,93.70%,,57.20%,,79.00%,,78.70%,,25.20%,,92.50%,,76.00%,,83.70%,,89.60%,,85.90%,,86.00%,,78.00%,,67.60%,,46.60%,,76.70%,,58.70%,,76.30%,,92.80%,,86.40%,,92.30%
"Black alone, percent (a)",(a),13.70%,,26.60%,,3.70%,,5.70%,,15.60%,,6.50%,2.60%,,16.50%,,13.60%,,1.60%,,1.60%,,20.00%,13.40%,,7.90%,,2.40%,,12.30%,,9.30%,,26.00%,2.10%,,15.50%,,2.80%,,17.70%,,22.10%,,3.80%,7.90%,,37.80%,,11.70%,,0.60%,,5.50%,,11.00%,8.80%,,32.60%,,2.10%,,31.60%,,9.60%,,14.10%,,2.20%,,1.00%,,14.60%,,10.40%,,4.50%,,6.20%,,4.80%,,13.10%,,24.10%,,44.40%,,16.90%,,33.20%,,4.70%,,3.80%,,6.60%,,1.20%
"American Indian and Alaska Native alone, percent (a)",(a),1.30%,,0.70%,,15.60%,,5.20%,,1.10%,,1.70%,8.50%,,0.60%,,1.10%,,1.60%,,0.40%,,0.60%,0.30%,,9.50%,,1.90%,,0.50%,,1.30%,,0.60%,0.30%,,0.80%,,11.40%,,1.10%,,1.60%,,5.30%,1.40%,,0.70%,,0.60%,,6.40%,,1.70%,,1.70%,0.30%,,0.90%,,0.70%,,0.80%,,0.60%,,0.80%,,0.40%,,1.70%,,0.60%,,0.50%,,0.60%,,1.30%,,1.70%,,0.80%,,0.70%,,0.70%,,0.60%,,0.60%,,2.00%,,0.30%,,1.20%,,2.80%
"Asian alone, percent (a)",(a),6.40%,,1.60%,,6.80%,,4.10%,,1.90%,,16.50%,1.80%,,2.10%,,6.00%,,2.90%,,2.10%,,7.40%,2.80%,,2.60%,,5.20%,,4.20%,,3.70%,,2.00%,3.10%,,10.60%,,2.00%,,9.70%,,3.70%,,1.70%,5.50%,,1.20%,,2.30%,,1.10%,,2.80%,,9.70%,1.80%,,1.90%,,1.40%,,7.10%,,7.90%,,3.60%,,37.30%,,1.70%,,6.30%,,2.90%,,2.70%,,3.20%,,3.80%,,5.20%,,4.40%,,4.90%,,3.20%,,4.90%,,10.80%,,0.90%,,3.30%,,1.20%
"Native Hawaiian and Other Pacific Islander alone, percent (a)",(a),0.30%,,0.10%,,1.70%,,0.30%,,0.50%,,0.50%,0.10%,,0.10%,,0.20%,,1.20%,,Z,,0.10%,0.10%,,0.30%,,0.50%,,0.10%,,0.20%,,0.10%,0.10%,,0.10%,,0.20%,,0.10%,,0.20%,,0.20%,0.10%,,0.10%,,0.20%,,0.10%,,0.10%,,0.90%,0.10%,,0.10%,,Z,,0.10%,,0.10%,,Z,,10.30%,,0.20%,,0.10%,,0.10%,,0.30%,,0.20%,,0.20%,,0.10%,,0.10%,,0.20%,,0.10%,,0.10%,,0.90%,,Z,,0.10%,,0.10%
"Two or More Races, percent",,3.10%,,2.00%,,8.10%,,3.30%,,2.50%,,4.30%,2.80%,,2.30%,,2.30%,,3.00%,,2.20%,,3.50%,2.70%,,6.80%,,4.40%,,2.40%,,3.10%,,2.30%,1.90%,,2.50%,,2.80%,,2.90%,,2.70%,,2.60%,2.90%,,1.50%,,2.70%,,3.10%,,2.60%,,5.20%,2.30%,,2.00%,,2.00%,,3.30%,,2.80%,,2.80%,,24.60%,,2.80%,,2.30%,,2.50%,,2.20%,,3.30%,,3.50%,,2.80%,,3.10%,,3.30%,,2.50%,,2.50%,,5.40%,,2.10%,,2.30%,,2.40%
"Hispanic or Latino, percent (b)",(b),19.50%,,5.70%,,7.50%,,31.60%,,9.20%,,40.40%,5.10%,,7.50%,,39.80%,,16.00%,,2.60%,,11.20%,4.80%,,12.90%,,14.90%,,8.90%,,18.00%,,7.50%,4.80%,,22.70%,,48.60%,,19.80%,,11.40%,,4.90%,6.50%,,3.90%,,5.30%,,4.70%,,12.90%,,29.90%,5.00%,,7.30%,,2.30%,,12.60%,,13.50%,,6.00%,,10.10%,,13.80%,,19.00%,,8.80%,,7.40%,,13.70%,,22.70%,,18.60%,,11.10%,,12.00%,,27.40%,,11.10%,,14.60%,,2.20%,,8.10%,,10.80%
"White alone, not Hispanic or Latino, percent",,58.40%,,64.10%,,59.00%,,53.40%,,70.20%,,34.30%,80.50%,,72.00%,,39.60%,,75.70%,,91.50%,,59.10%,76.70%,,62.60%,,72.80%,,74.10%,,69.20%,,62.90%,88.50%,,52.00%,,36.80%,,54.00%,,60.70%,,82.60%,76.90%,,55.60%,,77.90%,,85.10%,,76.20%,,45.40%,82.40%,,56.60%,,91.80%,,47.30%,,68.80%,,73.70%,,21.50%,,80.30%,,58.80%,,76.00%,,83.10%,,73.70%,,66.10%,,63.30%,,58.90%,,37.70%,,51.90%,,49.60%,,64.20%,,90.90%,,79.50%,,83.10%
"Veterans, 2019-2023",,"16,569,149",,"310,187",,"58,910",,"459,818",,"176,468",,"1,355,918","54,527",,"406,307",,"1,408,009",,"113,093",,"34,076",,"637,971","626,617",,"247,634",,"252,530",,"656,112",,"47,214",,"344,530","89,294",,"285,835",,"133,239",,"607,728",,"618,846",,"43,237","267,133",,"153,838",,"354,505",,"81,663",,"105,516",,"201,790","235,118",,"217,225",,"97,871",,"332,655",,"253,731",,"479,115",,"89,042",,"117,609",,"493,667",,"338,153",,"166,552",,"154,967",,"348,913",,"140,081",,"61,582",,"20,481",,"1,347,330",,"608,876",,"486,714",,"109,457",,"296,513",,"40,952"
"Foreign-born persons, percent, 2019-2023",,13.90%,,3.80%,,7.80%,,12.90%,,5.20%,,26.70%,3.90%,,5.90%,,17.20%,,8.60%,,4.30%,,12.90%,5.00%,,6.30%,,9.70%,,7.40%,,14.80%,,5.60%,6.20%,,23.50%,,9.20%,,22.60%,,8.70%,,4.50%,8.60%,,2.40%,,4.40%,,2.30%,,7.70%,,19.00%,4.40%,,4.70%,,3.90%,,16.30%,,17.70%,,7.00%,,18.10%,,5.70%,,14.40%,,5.90%,,5.70%,,7.20%,,9.60%,,15.40%,,10.40%,,13.30%,,21.40%,,10.80%,,15.10%,,1.70%,,5.10%,,3.50%
"Housing Units, July 1, 2023, (V2023)",,"145,344,636",,"2,360,135",,"329,699",,"3,239,581",,"1,409,134",,"14,763,237","417,220",,"3,195,304",,"12,395,364",,"1,258,623",,"341,375",,"3,717,677","5,317,298",,"1,788,972",,"1,879,586",,"5,839,963",,"487,132",,"2,490,344","653,069",,"3,804,012",,"965,399",,"8,631,525",,"4,979,204",,"380,841","2,575,411",,"1,350,642",,"2,844,346",,"535,500",,"873,672",,"1,348,211","2,036,728",,"2,124,961",,"758,815",,"2,572,412",,"3,045,948",,"4,643,473",,"572,063",,"815,293",,"5,471,027",,"3,002,605",,"1,449,340",,"1,300,712",,"2,638,724",,"1,546,032",,"471,458",,"367,147",,"10,451,818",,"4,610,567",,"3,361,615",,"863,745",,"2,787,556",,"280,121"
"Owner-occupied housing unit rate, 2019-2023",,65.00%,,69.90%,,66.60%,,67.00%,,66.10%,,55.80%,68.60%,,67.00%,,62.60%,,70.60%,,72.80%,,67.20%,67.00%,,65.80%,,63.40%,,69.30%,,63.30%,,71.40%,72.50%,,63.70%,,69.30%,,54.30%,,66.40%,,63.40%,72.40%,,69.50%,,67.90%,,69.40%,,66.50%,,59.30%,68.30%,,67.30%,,74.00%,,67.50%,,62.60%,,72.90%,,62.60%,,72.40%,,66.80%,,70.40%,,71.50%,,66.90%,,66.30%,,66.20%,,72.30%,,41.10%,,67.30%,,65.40%,,63.90%,,74.30%,,67.90%,,71.90%
"Median value of owner-occupied housing units, 2019-2023",,"$303,400 ",,"$195,100 ",,"$333,300 ",,"$358,900 ",,"$175,300 ",,"$695,400 ","$236,800 ",,"$256,800 ",,"$260,400 ",,"$455,000 ",,"$290,500 ",,"$360,700 ","$199,200 ",,"$185,900 ",,"$454,200 ",,"$240,500 ",,"$368,800 ",,"$236,700 ","$367,200 ",,"$427,600 ",,"$232,200 ",,"$403,000 ",,"$259,400 ",,"$241,100 ","$305,500 ",,"$161,400 ",,"$215,600 ",,"$338,100 ",,"$223,800 ",,"$406,100 ","$192,300 ",,"$208,700 ",,"$266,400 ",,"$397,700 ",,"$525,800 ",,"$217,600 ",,"$808,200 ",,"$376,000 ",,"$250,500 ",,"$201,600 ",,"$195,900 ",,"$203,400 ",,"$502,200 ",,"$343,200 ",,"$326,800 ",,"$724,600 ",,"$325,000 ",,"$272,900 ",,"$519,800 ",,"$155,600 ",,"$247,400 ",,"$285,100 "
"Median selected monthly owner costs - with a mortgage, 2019-2023",,"$1,902 ",,"$1,386 ",,"$2,192 ",,"$1,739 ",,"$1,297 ",,"$2,865 ","$1,618 ",,"$1,506 ",,"$2,012 ",,"$1,927 ",,"$1,877 ",,"$2,079 ","$1,472 ",,"$1,479 ",,"$2,080 ",,"$1,722 ",,"$2,190 ",,"$1,475 ","$2,305 ",,"$2,787 ",,"$1,510 ",,"$2,501 ",,"$1,561 ",,"$1,715 ","$1,890 ",,"$1,353 ",,"$1,478 ",,"$1,736 ",,"$1,686 ",,"$1,867 ","$1,393 ",,"$1,543 ",,"$1,657 ",,"$2,301 ",,"$2,659 ",,"$1,521 ",,"$2,863 ",,"$1,610 ",,"$1,950 ",,"$1,355 ",,"$1,494 ",,"$1,638 ",,"$2,231 ",,"$2,383 ",,"$1,782 ",,"$3,062 ",,"$1,860 ",,"$1,712 ",,"$2,358 ",,"$1,225 ",,"$1,652 ",,"$1,691 "
"Median selected monthly owner costs -without a mortage, 2019-2023",,$612 ,,$430 ,,$674 ,,$500 ,,$422 ,,$783 ,$597 ,,$455 ,,$650 ,,$534 ,,$813 ,,$566 ,$570 ,,$496 ,,$663 ,,$630 ,,$873 ,,$433 ,$971 ,,"$1,205 ",,$439 ,,$927 ,,$471 ,,$577 ,$672 ,,$418 ,,$528 ,,$547 ,,$651 ,,$520 ,$455 ,,$418 ,,$615 ,,$728 ,,"$1,001 ",,$587 ,,$660 ,,$474 ,,$767 ,,$498 ,,$599 ,,$618 ,,$624 ,,"$1,052 ",,$540 ,,$856 ,,$629 ,,$518 ,,$740 ,,$385 ,,$647 ,,$519 
"Median gross rent, 2019-2023",,"$1,348 ",,$963 ,,"$1,388 ",,"$1,431 ",,$914 ,,"$1,956 ",$912 ,,"$1,122 ",,"$1,339 ",,"$1,405 ",,"$1,193 ",,"$1,514 ",$988 ,,$980 ,,"$1,450 ",,"$1,162 ",,"$1,273 ",,"$1,126 ","$1,423 ",,"$1,653 ",,"$1,021 ",,"$1,576 ",,"$1,162 ",,$934 ,"$1,235 ",,$923 ,,$996 ,,"$1,031 ",,"$1,035 ",,"$1,489 ",$933 ,,"$1,038 ",,"$1,084 ",,"$1,662 ",,"$1,687 ",,"$1,084 ",,"$1,938 ",,"$1,150 ",,"$1,227 ",,"$1,020 ",,$949 ,,"$1,029 ",,"$1,693 ",,"$1,431 ",,"$1,341 ",,"$1,900 ",,"$1,564 ",,"$1,306 ",,"$1,682 ",,$850 ,,"$1,045 ",,$968 
"Building Permits, 2023",,"1,511,102",,"20,337",,937,,"58,433",,"12,842",,"111,760","7,072",,"47,463",,"232,373",,"25,361",,"2,456",,"36,096","27,318",,"13,405",,"17,697",,"25,320",,"1,169",,"42,474","4,555",,"32,840",,"8,511",,"48,807",,"98,853",,"2,618","25,667",,"7,700",,"16,781",,"4,307",,"8,877",,"18,451","15,415",,"14,247",,"6,183",,"18,453",,"13,214",,"20,592",,"3,791",,"17,919",,"16,863",,"27,055",,"11,230",,"9,504",,"39,404",,"6,272",,"5,765",,"3,020",,"193,788",,"63,621",,"37,097",,"4,014",,"21,494",,"1,681"
"Households, 2019-2023",,"127,482,865",,"1,969,105",,"267,865",,"2,796,790",,"1,189,160",,"13,434,847","358,552",,"2,768,743",,"10,747,240",,"1,094,896",,"269,466",,"3,326,260","4,829,571",,"1,542,780",,"1,701,548",,"5,235,339",,"436,902",,"2,070,390","551,186",,"3,478,355",,"825,021",,"7,668,956",,"4,186,924",,"325,079","2,282,967",,"1,131,760",,"2,484,834",,"452,683",,"786,885",,"1,183,393","1,791,991",,"1,783,168",,"589,085",,"2,339,510",,"2,762,070",,"4,040,168",,"488,991",,"693,821",,"5,001,904",,"2,681,537",,"1,303,763",,"1,160,715",,"2,325,576",,"1,420,170",,"396,209",,"321,556",,"8,550,911",,"4,008,013",,"3,020,558",,"721,448",,"2,446,028",,"238,176"
"Persons per household, 2019-2023",,2.54,,2.5,,2.63,,2.54,,2.48,,2.86,2.42,,2.47,,2.7,,2.99,,2.3,,2.53,2.38,,2.51,,2.43,,2.4,,2.4,,2.45,2.44,,2.61,,2.51,,2.51,,2.46,,2.31,2.44,,2.52,,2.42,,2.38,,2.44,,2.62,2.45,,2.52,,2.27,,2.58,,2.45,,2.43,,2.88,,2.66,,2.48,,2.47,,2.38,,2.46,,2.45,,2.47,,2.48,,1.99,,2.51,,2.64,,2.51,,2.4,,2.35,,2.38
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023",,87.30%,,87.80%,,85.20%,,85.10%,,86.90%,,88.80%,86.50%,,86.70%,,85.70%,,85.50%,,87.80%,,86.50%,87.60%,,85.10%,,85.50%,,88.90%,,88.80%,,86.90%,88.70%,,90.10%,,87.80%,,89.90%,,86.70%,,83.60%,87.40%,,88.80%,,86.90%,,85.80%,,86.40%,,85.00%,87.10%,,88.10%,,88.80%,,88.30%,,88.00%,,88.40%,,87.40%,,84.40%,,88.50%,,86.90%,,86.80%,,85.20%,,83.40%,,88.90%,,88.80%,,80.60%,,86.00%,,86.80%,,84.90%,,89.20%,,87.80%,,84.30%
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023",,22.00%,,5.90%,,15.60%,,25.70%,,8.10%,,44.10%,6.70%,,8.30%,,34.90%,,15.70%,,5.50%,,17.20%,7.70%,,11.30%,,15.10%,,12.00%,,22.70%,,8.20%,8.00%,,32.70%,,31.60%,,30.60%,,13.00%,,6.40%,12.20%,,4.20%,,6.60%,,4.20%,,12.30%,,29.30%,6.40%,,8.30%,,6.00%,,20.60%,,24.80%,,10.20%,,25.10%,,10.70%,,23.80%,,9.80%,,8.90%,,12.10%,,16.10%,,23.00%,,14.80%,,18.00%,,30.10%,,15.00%,,21.00%,,2.50%,,8.80%,,6.80%
"Households with a computer, percent, 2019-2023",,94.80%,,92.50%,,96.60%,,95.90%,,92.60%,,96.40%,93.60%,,93.50%,,95.60%,,97.60%,,94.10%,,94.80%,93.60%,,94.10%,,96.20%,,92.90%,,94.10%,,93.70%,95.60%,,95.30%,,92.40%,,94.00%,,94.10%,,94.10%,95.30%,,91.40%,,94.00%,,93.90%,,94.60%,,96.10%,92.80%,,92.30%,,94.00%,,96.00%,,95.10%,,94.40%,,95.40%,,95.90%,,94.40%,,93.60%,,93.70%,,95.00%,,96.80%,,94.80%,,95.60%,,96.00%,,96.00%,,95.00%,,96.70%,,90.10%,,94.00%,,95.10%
"Households with a broadband Internet subscription, percent, 2019-2023",,89.70%,,85.60%,,90.60%,,90.40%,,84.70%,,92.50%,88.50%,,87.40%,,90.00%,,92.80%,,87.90%,,89.90%,88.80%,,87.20%,,91.60%,,88.50%,,90.70%,,86.80%,91.80%,,91.80%,,84.20%,,89.60%,,88.60%,,87.50%,90.70%,,81.90%,,88.10%,,88.20%,,89.60%,,90.30%,87.20%,,84.80%,,88.90%,,91.50%,,91.80%,,89.30%,,91.00%,,91.00%,,89.40%,,88.30%,,87.50%,,89.30%,,92.80%,,91.10%,,91.40%,,90.20%,,90.20%,,89.40%,,93.00%,,84.40%,,89.20%,,89.10%
"High school graduate or higher, percent of persons age 25 years+, 2019-2023",,89.40%,,88.10%,,93.50%,,89.10%,,88.60%,,84.60%,93.00%,,89.60%,,85.70%,,93.30%,,94.50%,,91.30%,91.60%,,89.10%,,91.70%,,91.90%,,89.50%,,89.60%,94.10%,,90.70%,,87.70%,,87.90%,,89.70%,,93.80%,93.90%,,86.60%,,91.60%,,94.60%,,92.10%,,87.40%,88.50%,,86.90%,,94.50%,,91.00%,,91.40%,,91.90%,,92.90%,,91.70%,,90.30%,,90.20%,,93.20%,,91.90%,,92.80%,,91.30%,,91.40%,,92.80%,,89.60%,,89.00%,,92.20%,,88.60%,,93.40%,,94.10%
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023",,35.00%,,27.80%,,31.20%,,32.60%,,25.10%,,36.50%,31.10%,,30.40%,,33.10%,,36.90%,,42.60%,,41.50%,30.90%,,27.80%,,36.20%,,34.50%,,37.30%,,31.50%,39.80%,,42.90%,,30.20%,,39.60%,,34.70%,,32.30%,38.80%,,24.20%,,31.90%,,34.50%,,34.10%,,27.40%,27.00%,,26.60%,,35.30%,,42.70%,,46.60%,,31.80%,,35.50%,,31.20%,,37.20%,,28.80%,,30.90%,,35.20%,,44.70%,,41.90%,,35.30%,,63.60%,,33.20%,,34.20%,,38.80%,,23.30%,,32.80%,,29.90%
