"Fact","Fact Note","New Hampshire","Value Note for New Hampshire","New Jersey","Value Note for New Jersey","New Mexico","Value Note for New Mexico","New York","Value Note for New York","North Carolina","Value Note for North Carolina","North Dakota","Value Note for North Dakota"
"Median value of owner-occupied housing units, 2019-2023","","$367,200","","$427,600","","$232,200","","$403,000","","$259,400","","$241,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,305","","$2,787","","$1,510","","$2,501","","$1,561","","$1,715",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$971","","$1,205","","$439","","$927","","$471","","$577",""
"Median gross rent, 2019-2023","","$1,423","","$1,653","","$1,021","","$1,576","","$1,162","","$934",""
"Building Permits, 2023","","4,555","","32,840","","8,511","1","48,807","","98,853","","2,618",""
"Households, 2019-2023","","551,186","","3,478,355","","825,021","","7,668,956","","4,186,924","","325,079",""
"Persons per household, 2019-2023","","2.44","","2.61","","2.51","","2.51","","2.46","","2.31",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%","","90.1%","","87.8%","","89.9%","","86.7%","","83.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.0%","","32.7%","","31.6%","","30.6%","","13.0%","","6.4%",""
"Households with a computer, percent, 2019-2023","","95.6%","","95.3%","","92.4%","","94.0%","","94.1%","","94.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.8%","","91.8%","","84.2%","","89.6%","","88.6%","","87.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.1%","","90.7%","","87.7%","","87.9%","","89.7%","","93.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","39.8%","","42.9%","","30.2%","","39.6%","","34.7%","","32.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.4%","","6.9%","","11.8%","","8.1%","","9.3%","","8.2%",""
"Persons without health insurance, under age 65 years, percent","","5.9%","","8.5%","","11.1%","","5.8%","","11.0%","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.2%","","66.2%","","56.9%","","62.8%","","61.4%","","67.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.3%","","61.4%","","53.3%","","59.0%","","57.6%","","64.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","5,032,074","","31,189,464","","7,086,476","","78,162,473","","33,830,655","","2,237,637",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","15,658,963","","96,064,339","","17,390,006","","252,439,924","","96,614,431","","9,513,680",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,445,600","","44,934,981","","3,660,003","","69,447,564","","28,645,522","","5,084,632",""
"Total retail sales, 2022 ($1,000)","(c)","41,255,081","","208,629,891","","36,921,203","","392,993,705","","209,284,704","","19,111,926",""
"Total retail sales per capita, 2022","(c)","$29,489","","$22,528","","$17,469","","$19,976","","$19,567","","$24,537",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.8","","30.9","","23.2","","32.8","","25.1","","18.0",""
"Median households income (in 2023 dollars), 2019-2023","","$95,628","","$101,050","","$62,125","","$84,578","","$69,904","","$75,949",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$50,867","","$53,118","","$34,823","","$49,520","","$39,616","","$42,474",""
"Persons in poverty, percent","","7.2%","","9.7%","","17.8%","","14.2%","","12.8%","","9.8%",""
"Total employer establishments, 2022","","39,348","","237,499","","44,850","","540,271","","254,636","","25,098",""
"Total employment, 2022","","615,249","","3,813,702","","639,118","","8,429,776","","4,106,761","","342,345",""
"Total annual payroll, 2022 ($1,000)","","39,157,825","","275,696,056","","31,979,149","","716,345,662","","240,894,189","","20,355,440",""
"Total employment, percent change, 2021-2022","","4.8%","","6.8%","","5.5%","","6.9%","","5.2%","","2.9%",""
"Total nonemployer establishments, 2022","","114,903","","856,771","","138,557","","1,923,517","","914,586","","59,106",""
"All employer firms, Reference year 2022","","29,560","","185,417","","31,989","","427,083","","178,429","","18,251",""
"Men-owned employer firms, Reference year 2022","","18,196","","121,731","","17,512","","284,026","","107,443","","10,777",""
"Women-owned employer firms, Reference year 2022","","5,119","","38,988","","7,081","","92,967","","39,917","","3,270",""
"Minority-owned employer firms, Reference year 2022","","2,133","","50,317","","9,485","","104,131","","30,114","","914",""
"Nonminority-owned employer firms, Reference year 2022","","24,533","","124,286","","18,502","","299,225","","137,277","","15,303",""
"Veteran-owned employer firms, Reference year 2022","","1,579","","6,127","","1,782","","12,167","","10,797","","855",""
"Nonveteran-owned employer firms, Reference year 2022","","24,678","","169,340","","26,552","","392,504","","154,299","","15,078",""
"Population per square mile, 2020","","153.9","","1,263.0","","17.5","","428.7","","214.7","","11.3",""
"Population per square mile, 2010","","147.0","","1,195.5","","17.0","","411.2","","196.1","","9.7",""
"Land area in square miles, 2020","","8,953.75","","7,354.76","","121,312.75","","47,123.59","","48,623.02","","68,995.86",""
"Land area in square miles, 2010","","8,952.65","","7,354.22","","121,298.15","","47,126.40","","48,617.91","","69,000.80",""
"FIPS Code","","""33""","","""34""","","""35""","","""36""","","""37""","","""38""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
